id|nct_id|ctgov_group_code|units|scope|count
227|NCT02638051|B3|Participants|Overall|260
228|NCT02638051|B2|Participants|Overall|130
229|NCT02638051|B1|Participants|Overall|130
230|NCT02635425|B3|Participants|Overall|30
231|NCT02635425|B2|Participants|Overall|15
232|NCT02635425|B1|Participants|Overall|15
233|NCT02633787|B1|Participants|Overall|110
234|NCT02630563|B1|Participants|Overall|9
235|NCT02628938|B4|Participants|Overall|34
236|NCT02628938|B3|Participants|Overall|11
237|NCT02628938|B2|Participants|Overall|13
238|NCT02628938|B1|Participants|Overall|10
239|NCT02628418|B3|Participants|Overall|30
240|NCT02628418|B2|Participants|Overall|15
241|NCT02628418|B1|Participants|Overall|15
242|NCT02628106|B1|Participants|Overall|21
243|NCT02627144|B1|Participants|Overall|359
244|NCT02627001|B3|Participants|Overall|27
245|NCT02627001|B2|Participants|Overall|14
246|NCT02627001|B1|Participants|Overall|13
247|NCT02625844|B1|Participants|Overall|110
248|NCT02621034|B4|Participants|Overall|150
249|NCT02621034|B3|Participants|Overall|50
250|NCT02621034|B2|Participants|Overall|50
251|NCT02621034|B1|Participants|Overall|50
252|NCT02619799|B3|Participants|Overall|50
253|NCT02619799|B2|Participants|Overall|25
254|NCT02619799|B1|Participants|Overall|25
255|NCT02619591|B3|Participants|Overall|260
256|NCT02619591|B2|Participants|Overall|121
257|NCT02619591|B1|Participants|Overall|139
258|NCT02618772|B3|Participants|Overall|79
259|NCT02618772|B2|Participants|Overall|40
260|NCT02618772|B1|Participants|Overall|39
261|NCT02617784|B3|Participants|Overall|24
262|NCT02617784|B2|Participants|Overall|12
263|NCT02617784|B1|Participants|Overall|12
264|NCT02616523|B4|Participants|Overall|59
265|NCT02616523|B3|Participants|Overall|20
266|NCT02616523|B2|Participants|Overall|20
267|NCT02616523|B1|Participants|Overall|19
268|NCT02614924|B3|Participants|Overall|40
269|NCT02614924|B2|Participants|Overall|20
270|NCT02614924|B1|Participants|Overall|20
271|NCT02612077|B1|Participants|Overall|737
272|NCT02611765|B3|Participants|Overall|64
273|NCT02611765|B2|Participants|Overall|35
274|NCT02611765|B1|Participants|Overall|29
275|NCT02609178|B1|Participants|Overall|12
276|NCT02608489|B3|Participants|Overall|63
277|NCT02608489|B2|Participants|Overall|33
278|NCT02608489|B1|Participants|Overall|30
279|NCT02606734|B1|Participants|Overall|44
280|NCT02603666|B1|Participants|Overall|130
281|NCT02602223|B1|Participants|Overall|9
282|NCT02598934|B3|Participants|Overall|308
283|NCT02598934|B2|Participants|Overall|154
284|NCT02598934|B1|Participants|Overall|154
285|NCT02598622|B3|Participants|Overall|8
286|NCT02598622|B2|Participants|Overall|0
287|NCT02598622|B1|Participants|Overall|8
288|NCT02597855|B3|Participants|Overall|29
289|NCT02597855|B2|Participants|Overall|13
290|NCT02597855|B1|Participants|Overall|16
291|NCT02597582|B3|Participants|Overall|41
292|NCT02597582|B2|Participants|Overall|20
293|NCT02597582|B1|Participants|Overall|21
294|NCT02596958|B1|Participants|Overall|987
295|NCT02596945|B1|Participants|Overall|220
296|NCT02596620|B3|Participants|Overall|164
297|NCT02596620|B2|Participants|Overall|82
298|NCT02596620|B1|Participants|Overall|82
299|NCT02595502|B1|Participants|Overall|285
300|NCT02595450|B1|Participants|Overall|291
301|NCT02594826|B3|Participants|Overall|705
302|NCT02594826|B2|Participants|Overall|358
303|NCT02594826|B1|Participants|Overall|347
304|NCT02591238|B5|Participants|Overall|63
305|NCT02591238|B4|Participants|Overall|15
306|NCT02591238|B3|Participants|Overall|17
307|NCT02591238|B2|Participants|Overall|16
308|NCT02591238|B1|Participants|Overall|15
309|NCT02591056|B1|Participants|Overall|27
310|NCT02590562|B1|Participants|Overall|802
311|NCT02588599|B1|Participants|Overall|54
312|NCT02587819|B1|Participants|Overall|21
313|NCT02587117|B3|Participants|Overall|28
314|NCT02587117|B2|Participants|Overall|15
315|NCT02587117|B1|Participants|Overall|13
316|NCT02584686|B3|Participants|Overall|24
317|NCT02584686|B2|Participants|Overall|12
318|NCT02584686|B1|Participants|Overall|12
319|NCT02582983|B1|Participants|Overall|23
320|NCT02581475|B3|Participants|Overall|360
321|NCT02581475|B2|Participants|Overall|178
322|NCT02581475|B1|Participants|Overall|182
323|NCT02580799|B1|Participants|Overall|30
324|NCT02578992|B3|Participants|Overall|124
325|NCT02578992|B2|Participants|Overall|62
326|NCT02578992|B1|Participants|Overall|62
327|NCT02577315|B3|Participants|Overall|25
328|NCT02577315|B2|Participants|Overall|13
329|NCT02577315|B1|Participants|Overall|12
330|NCT02576535|B1|Participants|Overall|18
331|NCT02576145|B3|Participants|Overall|11
332|NCT02576145|B2|Participants|Overall|5
333|NCT02576145|B1|Participants|Overall|6
334|NCT02574260|B1|Participants|Overall|3
335|NCT02572609|B3|Participants|Overall|36
336|NCT02572609|B2|Participants|Overall|18
337|NCT02572609|B1|Participants|Overall|18
338|NCT02572427|B3|Participants|Overall|82
339|NCT02572427|B2|Participants|Overall|45
340|NCT02572427|B1|Participants|Overall|37
341|NCT02571634|B1|Participants|Overall|23
342|NCT02570425|B3|Participants|Overall|516
343|NCT02570425|B2|Participants|Overall|274
344|NCT02570425|B1|Participants|Overall|242
345|NCT02570022|B3|Participants|Overall|57
346|NCT02570022|B2|Participants|Overall|31
347|NCT02570022|B1|Participants|Overall|26
348|NCT02569996|B1|Participants|Overall|124
349|NCT02568852|B3|Participants|Overall|50
350|NCT02568852|B2|Participants|Overall|25
351|NCT02568852|B1|Participants|Overall|25
352|NCT02568345|B1|Participants|Overall|31
353|NCT02567188|B1|Participants|Overall|141
354|NCT02563834|B3|Participants|Overall|18
355|NCT02563834|B2|Participants|Overall|8
356|NCT02563834|B1|Participants|Overall|10
357|NCT02563093|B5|Participants|Overall|208
358|NCT02563093|B4|Participants|Overall|51
359|NCT02563093|B3|Participants|Overall|53
360|NCT02563093|B2|Participants|Overall|52
361|NCT02563093|B1|Participants|Overall|52
362|NCT02557646|B1|Participants|Overall|693
363|NCT02556307|B1|Participants|Overall|268
364|NCT02555618|B3|Participants|Overall|400
365|NCT02555618|B2|Participants|Overall|200
366|NCT02555618|B1|Participants|Overall|200
367|NCT02555228|B3|Participants|Overall|54
368|NCT02555228|B2|Participants|Overall|27
369|NCT02555228|B1|Participants|Overall|27
370|NCT02552810|B3|Participants|Overall|30
371|NCT02552810|B2|Participants|Overall|15
372|NCT02552810|B1|Participants|Overall|15
373|NCT02551887|B4|Participants|Overall|647
374|NCT02551887|B3|Participants|Overall|222
375|NCT02551887|B2|Participants|Overall|124
376|NCT02551887|B1|Participants|Overall|301
377|NCT02550197|B3|Participants|Overall|300
378|NCT02550197|B2|Participants|Overall|100
379|NCT02550197|B1|Participants|Overall|200
380|NCT02550132|B1|Participants|Overall|25
381|NCT02549027|B1|Participants|Overall|20
382|NCT02549014|B3|Participants|Overall|16
383|NCT02549014|B2|Participants|Overall|8
384|NCT02549014|B1|Participants|Overall|8
385|NCT02548156|B1|Participants|Overall|29
386|NCT02547454|B1|Participants|Overall|393
387|NCT02543437|B1|Participants|Overall|117
388|NCT02542280|B3|Participants|Overall|329
389|NCT02542280|B2|Participants|Overall|167
390|NCT02542280|B1|Participants|Overall|162
391|NCT02540850|B4|Participants|Overall|1031
392|NCT02540850|B3|Participants|Overall|410
393|NCT02540850|B2|Participants|Overall|330
394|NCT02540850|B1|Participants|Overall|291
395|NCT02540772|B3|Participants|Overall|20
396|NCT02540772|B2|Participants|Overall|10
397|NCT02540772|B1|Participants|Overall|10
398|NCT02540447|B3|Participants|Overall|80
399|NCT02540447|B2|Participants|Overall|40
400|NCT02540447|B1|Participants|Overall|40
401|NCT02540213|B1|Participants|Overall|238
402|NCT02539992|B4|Participants|Overall|44
403|NCT02539992|B3|Participants|Overall|18
404|NCT02539992|B2|Participants|Overall|11
405|NCT02539992|B1|Participants|Overall|15
406|NCT02539108|B3|Participants|Overall|60
407|NCT02539108|B2|Participants|Overall|30
